Prices (USD/bbl),Date (CDT),Time (CDT)
4,2021-07-28,22:49:54
4.001,2021-07-28,22:57:14
3.992,2021-07-28,23:04:52
4,2021-07-28,23:10:28
4,2021-07-28,23:14:38
4.004,2021-07-28,23:19:30
4.004,2021-07-28,23:25:08
4.014,2021-07-28,23:40:08
4.018,2021-07-28,23:44:32
4.018,2021-07-28,23:49:19
4.025,2021-07-28,23:58:37
4.025,2021-07-28,23:59:34
4.03,2021-07-29,00:04:00
4.03,2021-07-29,00:09:47
4.037,2021-07-29,00:19:31
4.036,2021-07-29,00:25:25
4.027,2021-07-29,00:28:55
4.026,2021-07-29,00:35:40
4.034,2021-07-29,00:42:01
4.031,2021-07-29,00:46:44
4.029,2021-07-29,00:50:36
4.015,2021-07-29,00:55:43
4.062,2021-07-29,00:59:55
4.056,2021-07-29,01:04:01
4.048,2021-07-29,01:08:58
4.027,2021-07-29,01:14:00
4.043,2021-07-29,01:19:00
4.05,2021-07-29,01:25:00
4,2021-07-29,01:45:06
4.044,2021-07-29,04:07:51
4.044,2021-07-29,05:21:00
4.044,2021-07-29,07:29:57
3.963,2021-07-29,11:49:45
3.96,2021-07-29,11:54:33
3.961,2021-07-29,12:00:00
3.964,2021-07-29,12:04:57
3.963,2021-07-29,12:09:59
3.962,2021-07-29,12:14:01
3.963,2021-07-29,12:19:13
3.969,2021-07-29,12:24:01
3.968,2021-07-29,12:29:01
3.97,2021-07-29,12:34:01
3.969,2021-07-29,12:39:01
3.963,2021-07-29,12:44:00
3.957,2021-07-29,12:49:01
3.954,2021-07-29,12:54:01
3.955,2021-07-29,12:58:59
3.951,2021-07-29,13:04:54
3.952,2021-07-29,13:09:01
3.95,2021-07-29,13:14:01
3.95,2021-07-29,13:19:01
3.948,2021-07-29,13:24:01
3.953,2021-07-29,13:29:00
3.948,2021-07-29,13:34:00
3.948,2021-07-29,13:38:59
3.946,2021-07-29,13:43:59
3.951,2021-07-29,13:49:01
3.95,2021-07-29,13:54:00
3.95,2021-07-29,13:58:59
3.966,2021-07-29,14:03:57
3.975,2021-07-29,14:09:56
3.973,2021-07-29,14:14:01
3.97,2021-07-29,14:19:01
3.967,2021-07-29,14:24:17
3.965,2021-07-29,14:30:01
3.97,2021-07-29,14:34:00
3.958,2021-07-29,14:39:46
3.949,2021-07-29,14:43:51
3.953,2021-07-29,14:49:47
3.955,2021-07-29,14:53:59
3.956,2021-07-29,14:59:01
3.962,2021-07-29,15:04:58
3.962,2021-07-29,15:09:59
3.968,2021-07-29,15:13:59
3.967,2021-07-29,15:18:59
3.968,2021-07-29,15:24:51
3.97,2021-07-29,15:30:00
3.975,2021-07-29,15:33:56
3.969,2021-07-29,15:38:51
3.966,2021-07-29,15:43:59
3.962,2021-07-29,15:48:59
3.96,2021-07-29,15:56:00
3.956,2021-07-29,16:00:01
3.955,2021-07-29,16:03:59
3.954,2021-07-29,16:09:01
3.956,2021-07-29,16:14:01
3.955,2021-07-29,16:19:01
3.955,2021-07-29,16:24:01
3.958,2021-07-29,16:29:01
3.958,2021-07-29,16:34:07
3.959,2021-07-29,16:39:42
3.959,2021-07-29,16:44:01
3.956,2021-07-29,16:48:59
3.955,2021-07-29,16:54:59
3.955,2021-07-29,16:59:01
3.951,2021-07-29,17:04:00
3.948,2021-07-29,17:09:58
3.948,2021-07-29,17:13:53
3.945,2021-07-29,17:19:59
3.948,2021-07-29,17:23:58
3.952,2021-07-29,17:29:52
3.957,2021-07-29,17:33:57
3.958,2021-07-29,17:39:01
3.957,2021-07-29,17:44:01
3.962,2021-07-29,17:49:01
3.969,2021-07-29,17:54:01
3.972,2021-07-29,18:00:01
3.97,2021-07-29,18:04:58
3.968,2021-07-29,18:08:59
3.978,2021-07-29,18:13:57
3.973,2021-07-29,18:19:01
3.972,2021-07-29,18:24:01
3.969,2021-07-29,18:29:01
3.959,2021-07-29,18:34:01
3.959,2021-07-29,18:38:59
3.959,2021-07-29,18:44:58
3.957,2021-07-29,18:48:52
3.964,2021-07-29,18:53:57
