Prices (USD/bbl),Date (CDT),Time (CDT)
71.82,2021-07-28,18:26:01
71.91,2021-07-28,18:31:01
72.02,2021-07-28,18:35:01
71.94,2021-07-28,18:41:01
71.98,2021-07-28,18:45:58
71.98,2021-07-28,18:50:43
72,2021-07-28,18:55:50
71.97,2021-07-28,19:00:01
71.98,2021-07-28,19:05:01
72.19,2021-07-28,19:10:01
72.17,2021-07-28,19:15:01
72.18,2021-07-28,19:20:02
72.18,2021-07-28,19:25:58
72.14,2021-07-28,19:30:01
72.12,2021-07-28,19:36:00
72.16,2021-07-28,19:40:01
72.18,2021-07-28,19:46:00
72.21,2021-07-28,19:50:02
72.16,2021-07-28,19:56:01
72.09,2021-07-28,20:00:01
72.08,2021-07-28,20:05:02
72.05,2021-07-28,20:10:01
72.09,2021-07-28,20:15:01
72.04,2021-07-28,20:20:01
72.13,2021-07-28,20:25:59
71.97,2021-07-28,20:30:01
72.05,2021-07-28,20:35:01
72.07,2021-07-28,20:40:01
71.88,2021-07-28,20:46:01
72.02,2021-07-28,20:50:01
71.92,2021-07-28,20:56:01
71.94,2021-07-28,21:00:01
72.1,2021-07-28,21:06:01
72.06,2021-07-28,21:10:02
71.94,2021-07-28,21:16:01
72,2021-07-28,21:20:01
71.93,2021-07-28,21:25:01
71.92,2021-07-28,21:30:01
72.08,2021-07-28,21:35:01
71.84,2021-07-28,21:40:01
71.82,2021-07-28,21:45:01
71.99,2021-07-28,21:50:01
71.94,2021-07-28,21:55:01
71.88,2021-07-28,22:00:02
71.9,2021-07-28,22:05:01
71.77,2021-07-28,22:10:01
72.14,2021-07-28,22:15:01
72.09,2021-07-28,22:20:01
71.97,2021-07-28,22:26:01
72.02,2021-07-28,22:30:01
72.14,2021-07-28,22:35:01
72.21,2021-07-28,22:40:01
72.19,2021-07-28,22:45:01
72.18,2021-07-28,22:50:01
72.3,2021-07-28,22:56:00
72.23,2021-07-28,23:00:01
72.17,2021-07-28,23:06:00
72.18,2021-07-28,23:10:01
72.26,2021-07-28,23:15:01
72.25,2021-07-28,23:20:01
72.19,2021-07-28,23:25:01
72.25,2021-07-28,23:30:01
72.26,2021-07-28,23:35:58
72.24,2021-07-28,23:41:01
72.23,2021-07-28,23:45:54
72.23,2021-07-28,23:50:01
72.21,2021-07-28,23:56:00
72.27,2021-07-29,00:00:01
72.56,2021-07-29,00:06:01
72.44,2021-07-29,00:10:01
72.49,2021-07-29,00:15:01
72.46,2021-07-29,00:20:01
72.46,2021-07-29,00:25:01
72.49,2021-07-29,00:30:01
72.38,2021-07-29,00:35:01
72.38,2021-07-29,00:40:02
72.34,2021-07-29,00:46:00
72.38,2021-07-29,00:50:01
72.33,2021-07-29,00:55:01
72.22,2021-07-29,01:01:01
72.4,2021-07-29,01:05:01
72.41,2021-07-29,01:10:02
72.41,2021-07-29,01:15:01
72.5,2021-07-29,01:20:01
72.43,2021-07-29,01:25:01
72.36,2021-07-29,01:30:01
72.37,2021-07-29,01:36:01
72.39,2021-07-29,01:40:01
72.43,2021-07-29,01:46:00
72.42,2021-07-29,01:50:02
72.36,2021-07-29,01:55:55
72.35,2021-07-29,02:00:01
72.31,2021-07-29,02:06:59
72.25,2021-07-29,02:10:01
72.29,2021-07-29,02:16:01
72.27,2021-07-29,02:21:01
72.26,2021-07-29,02:25:57
72.24,2021-07-29,02:30:56
72.24,2021-07-29,02:35:36
72.19,2021-07-29,02:40:01
72.21,2021-07-29,02:46:01
72.21,2021-07-29,02:50:01
72.23,2021-07-29,02:55:01
72.22,2021-07-29,03:01:00
72.25,2021-07-29,03:05:56
72.27,2021-07-29,03:10:57
72.25,2021-07-29,03:15:57
72.26,2021-07-29,03:20:47
72.28,2021-07-29,03:25:01
72.3,2021-07-29,03:30:01
72.31,2021-07-29,03:35:56
72.34,2021-07-29,03:40:01
72.34,2021-07-29,03:45:01
72.37,2021-07-29,03:50:58
72.37,2021-07-29,03:55:01
72.39,2021-07-29,04:04:00
72.39,2021-07-29,04:07:50
72.4,2021-07-29,05:00:01
72.45,2021-07-29,05:06:00
72.44,2021-07-29,05:10:50
72.4,2021-07-29,05:16:00
72.4,2021-07-29,05:20:41
72.41,2021-07-29,05:26:49
72.43,2021-07-29,05:30:45
72.43,2021-07-29,05:35:32
72.41,2021-07-29,05:40:54
72.41,2021-07-29,05:45:45
72.42,2021-07-29,05:51:00
72.43,2021-07-29,05:55:59
72.43,2021-07-29,06:00:59
72.43,2021-07-29,06:05:54
72.4,2021-07-29,06:10:59
72.38,2021-07-29,06:15:59
72.38,2021-07-29,06:20:59
72.42,2021-07-29,06:25:54
72.41,2021-07-29,06:30:40
72.39,2021-07-29,06:35:58
72.4,2021-07-29,06:40:59
72.4,2021-07-29,06:45:01
72.39,2021-07-29,06:50:47
72.39,2021-07-29,06:55:59
72.43,2021-07-29,07:01:00
72.36,2021-07-29,07:06:00
72.36,2021-07-29,07:10:54
72.37,2021-07-29,07:16:00
72.33,2021-07-29,07:20:58
72.32,2021-07-29,07:25:01
72.32,2021-07-29,07:31:01
72.32,2021-07-29,07:35:59
72.31,2021-07-29,07:41:01
72.31,2021-07-29,07:45:01
72.36,2021-07-29,07:50:45
72.36,2021-07-29,07:55:01
72.35,2021-07-29,08:00:01
72.36,2021-07-29,08:05:59
72.33,2021-07-29,08:11:00
72.3,2021-07-29,08:15:01
72.32,2021-07-29,08:20:44
72.29,2021-07-29,08:26:01
72.32,2021-07-29,08:30:01
72.34,2021-07-29,08:35:01
72.34,2021-07-29,08:40:59
72.43,2021-07-29,08:45:01
72.46,2021-07-29,08:51:01
72.42,2021-07-29,08:55:57
72.45,2021-07-29,09:00:01
72.47,2021-07-29,09:05:56
72.48,2021-07-29,09:10:59
72.47,2021-07-29,09:16:00
72.46,2021-07-29,09:20:01
72.47,2021-07-29,09:25:01
72.49,2021-07-29,09:30:01
72.55,2021-07-29,09:35:58
72.71,2021-07-29,09:41:01
72.69,2021-07-29,09:45:01
72.69,2021-07-29,09:50:59
72.73,2021-07-29,09:55:59
72.7,2021-07-29,10:01:01
72.73,2021-07-29,10:06:00
72.73,2021-07-29,10:10:40
72.68,2021-07-29,10:15:57
72.66,2021-07-29,10:20:54
72.62,2021-07-29,10:26:00
72.63,2021-07-29,10:30:50
72.66,2021-07-29,10:35:56
72.68,2021-07-29,10:40:01
72.67,2021-07-29,10:45:59
72.64,2021-07-29,10:50:30
72.63,2021-07-29,10:55:59
72.63,2021-07-29,11:00:48
72.64,2021-07-29,11:05:52
72.63,2021-07-29,11:10:59
72.65,2021-07-29,11:15:47
72.65,2021-07-29,11:20:59
72.65,2021-07-29,11:25:59
72.66,2021-07-29,11:30:01
72.66,2021-07-29,11:35:13
72.67,2021-07-29,11:40:49
72.67,2021-07-29,11:45:52
72.66,2021-07-29,11:50:59
72.65,2021-07-29,11:55:53
72.65,2021-07-29,12:00:01
72.65,2021-07-29,12:05:51
72.63,2021-07-29,12:10:59
72.64,2021-07-29,12:15:43
72.63,2021-07-29,12:20:31
72.69,2021-07-29,12:25:42
72.78,2021-07-29,12:30:01
